stamp_sec,actual_loop_dt,control_update_dt,ref_idx,x,y,yaw,vx,vy,yaw_rate,ax,xr,yr,psi_ref,kappa_ref,v_ref,e_longitudinal,e_lateral,e_heading,steering_rad,steering_norm,accel_cmd,throttle,brake,f_resist,f_required
1776071424.0,0.09987664222717285,0.10000000149011612,22.0,-384.6824645996094,149.09132385253906,-1.2532883882522583,2.5127551555633545,0.002784308511763811,0.011309999972581863,-0.5651111602783203,-383.94085693359375,149.3284454345703,-1.261338710784912,-0.0007187221781350672,2.999297857284546,-9.71445146547012e-16,-0.7786014080047607,0.008050278760492802,0.4475456774234772,-0.7326422333717346,3.371999979019165,1.0,0.0,73.3981704711914,6817.39794921875
1776071424.0,0.10000000149011612,0.10000000149011612,22.0,-384.6009826660156,148.8561248779297,-1.2531744241714478,2.48956561088562,-0.015535219572484493,-0.0020600000862032175,0.23124441504478455,-383.8650817871094,149.09141540527344,-1.261338710784912,-0.0006244545220397413,2.999297857284546,-2.275957200481571e-15,-0.7726223468780518,0.008164220489561558,0.4605907201766968,-0.753997266292572,3.371999979019165,1.0,0.0,73.10618591308594,6817.10595703125
1776071424.0,0.10000000149011612,0.10000000149011612,23.0,-384.4271545410156,148.347900390625,-1.2529021501541138,2.984441041946411,-0.01748151145875454,0.008299999870359898,3.405996799468994,-383.7016906738281,148.57937622070312,-1.2619484663009644,-0.000433191133197397,2.9992778301239014,-8.854028621385623e-15,-0.7615023255348206,0.009046358056366444,0.41189494729042053,-0.6742811799049377,3.267355442047119,1.0,0.0,79.45817565917969,6614.16943359375
1776071424.0,0.10000000149011612,0.10000000149011612,23.0,-384.32550048828125,148.05018615722656,-1.2529897689819336,3.3376553058624268,-0.022649288177490234,0.0011500000255182385,3.8242685794830322,-383.6060791015625,148.27972412109375,-1.2619484663009644,-0.0003213249729014933,2.9992778301239014,-5.412337245047638e-15,-0.7551444172859192,0.008958760648965836,0.3745238780975342,-0.6131039261817932,1.1493345499038696,0.3422077000141144,0.0,84.14704132080078,2382.816162109375
1776071424.0,0.10000000149011612,0.10000000149011612,24.0,-384.08587646484375,147.351806640625,-1.2534459829330444,4.028184413909912,-0.007898759096860886,0.003109999932348728,2.8545608520507812,-383.38177490234375,147.57627868652344,-1.262166142463684,-0.00016305051394738257,2.999257802963257,5.10702591327572e-15,-0.7390115857124329,0.008720200508832932,0.3229827880859375,-0.528730034828186,-3.1170544624328613,0.0,0.4465378224849701,93.68704986572266,-6140.421875
1776071424.0,0.10000000149011612,0.10000000149011612,24.0,-383.95172119140625,146.9627227783203,-1.2536382675170898,4.245645046234131,-0.02040306106209755,-0.010889999568462372,1.7661470174789429,-383.2568054199219,147.18426513671875,-1.262166142463684,-8.947252354118973e-05,2.999257802963257,1.2212453270876722e-14,-0.7293850779533386,0.00852785725146532,0.30367088317871094,-0.49711599946022034,-4.775838851928711,0.0,0.6672362089157104,96.79366302490234,-9454.8837890625
1776071424.0,0.10000000149011612,0.10000000149011612,24.0,-383.8172302246094,146.57150268554688,-1.2541723251342773,3.960874319076538,-0.009040120989084244,-0.016829999163746834,-9.797748565673828,-383.1311950683594,146.7902069091797,-1.2621912956237793,-0.00010854294669115916,2.999257802963257,5.800915303666443e-15,-0.7200545072555542,0.00801894161850214,0.3100340962409973,-0.5075327157974243,-3.490147590637207,0.0,0.48737025260925293,92.73539733886719,-6887.56005859375
1776071424.0,0.09979915618896484,0.10000000149011612,25.0,-383.61431884765625,145.96888732910156,-1.25307035446167,2.4834516048431396,-0.03857899829745293,-0.005799999926239252,-5.73241662979126,-382.93804931640625,146.1844024658203,-1.2622830867767334,-0.00014536768139805645,2.9992377758026123,1.326716514427062e-14,-0.7097690105438232,0.00921272486448288,0.3798472583293915,-0.6218184232711792,3.371999979019165,1.0,0.0,73.029296875,6817.029296875
1776071424.0,0.10000000149011612,0.10000000149011612,25.0,-383.5450744628906,145.7658233642578,-1.2527034282684326,1.8418556451797485,0.005775350145995617,0.006610000040382147,-6.850008010864258,-382.8729248046875,145.9800262451172,-1.2622830867767334,-0.00018817358068190515,2.9992377758026123,-9.43689570931383e-16,-0.7054639458656311,0.00957964826375246,0.44966045022010803,-0.7361041307449341,3.371999979019165,1.0,0.0,65.17583465576172,6809.17578125
1776071424.0,0.09998750686645508,0.10000000149011612,26.0,-383.44012451171875,145.47003173828125,-1.2517977952957153,1.505098819732666,-0.009899926371872425,-0.015279999934136868,1.1899515390396118,-382.7776794433594,145.68113708496094,-1.2622830867767334,-0.0002507730678189546,2.9992177486419678,1.5737411374061594e-14,-0.6952868103981018,0.01048525795340538,0.5194736123085022,-0.850389838218689,3.371999979019165,1.0,0.0,61.22442626953125,6805.224609375
1776071424.0,0.10000000149011612,0.10000000149011612,26.0,-383.38671875,145.3180389404297,-1.2512520551681519,1.7483713626861572,0.007126207463443279,0.005739999935030937,3.0634100437164307,-382.7287902832031,145.52772521972656,-1.2622830867767334,-0.00028290593763813376,2.9992177486419678,-1.0352829704629585e-14,-0.6905415058135986,0.011031017638742924,0.5249073505401611,-0.8592850565910339,3.371999979019165,1.0,0.0,64.067138671875,6808.06689453125
